t_sec,HR,MAP,CO,SV,SVR,sympathetic,parasympathetic,contractility_factor,MAP_error,respiratory_rate,PaCO2,PaO2,arterial_pH,O2_saturation,glucose,lactate,HCO3,potassium,sodium,factor_VII,factor_II,PT_sec,aPTT_sec,fibrinogen,coagulation_state,cortisol,T3,insulin,glucagon,HPA_axis,vdp_x,vdp_v,vdp_omega,vdp_mu,chemical_drive,blood_volume_ml,blood_volume_ratio,GFR,urine_output,BUN,extra_volume_ml,inter_volume_ml,intra_volume_ml
1824.0,85.21319146092962,99.9996051832137,1702.1068267011678,19.974688376479975,1.4100033401808345,0.3000027637102478,0.6999980259294831,1.0,3.948167862972696e-06,16.550858618410576,32.90925948793664,71.09432564007923,7.48577187692246,0.9400639456460073,4.5,0.5,24.0,4.2,145.0,0.9809798879444753,0.9809798879444753,13.061393370181841,20.785624210454202,300.0,0.2083813056679442,5.868255440283094,100.14269964551774,12.0,80.0,0.05,-1.2683777614415976,1.920098318038249,1.825079968504281,1.3840044485590033,0.0,1714.5575745452445,0.9968357991542119,63.029999999999994,0.5969571299999998,14.278914802475029,1478.393333333444,3168.3730876756836,7953.233578990845
1825.0,85.21325068403934,99.99960518266494,1702.1068266722107,19.974674493756023,1.410003340185477,0.3000027637140892,0.6999980259267393,1.0,3.948173350636353e-06,16.641745506249457,28.502638219818998,76.60260222522628,7.548204926587591,0.9508096084134027,4.5,0.5,24.000000000000004,4.2,145.0,0.9809696968952599,0.9809696968952599,13.06195773215932,20.786049392082223,300.0,0.2084164199897978,5.868401749957484,100.1428437432223,12.0,80.0,0.05,1.9924760138533837,1.4310208203958565,1.6594460120381473,1.2282189604850884,0.0,1714.5545897595955,0.9968340638137183,63.029999999999994,0.5969571299999998,14.278914802475029,1478.3266666667773,3168.4718470757552,7953.20148625744
1826.0,85.21330990723138,99.99960518211616,1702.1068266432537,19.974660611032075,1.4100033401901197,0.30000276371793055,0.6999980259239953,1.0,3.948178838442118e-06,16.775921929621518,33.19860724074744,70.73264094906571,7.481970122575426,0.9392542228444212,4.5,0.5,24.000000000000004,4.2,145.0,0.980959506100818,0.980959506100818,13.06252207533583,20.786474833428482,300.0,0.20845149531524038,5.8685478971468275,100.14298790100668,12.0,80.0,0.05,1.14402767289227,-2.107311357376788,1.8525680616974054,1.4093310653481352,0.0,1714.5516049739465,0.9968323284732247,63.029999999999994,0.5969571299999998,14.278914802475029,1478.2600000001107,3168.5706145197964,7953.169385480064
1827.0,85.21336913050571,99.99960518156736,1702.1068266142963,19.974646728308127,1.4100033401947625,0.3000027637217721,0.6999980259212514,1.0,3.948184326389992e-06,16.480289446411142,28.803132454796835,76.22698443150398,7.543650265418284,0.9501618730249246,4.5,0.5,23.999999999999996,4.2,145.0,0.9809493155611428,0.9809493155611428,13.063086399712004,20.786900533637596,300.0,0.20848653168757963,5.8686938820315735,100.1431321188532,12.0,80.0,0.05,-2.0652656576844604,-0.8201918312032852,1.6485016135596213,1.217441167885965,0.0,1714.5486201882975,0.9968305931327311,63.029999999999994,0.5969571299999998,14.278914802475029,1478.1933333334441,3168.6693900095374,7953.13727665699
1828.0,85.21342835386238,99.99960518101857,1702.1068265853391,19.97463284558418,1.4100033401994057,0.3000027637256135,0.6999980259185075,1.0,3.948189814337866e-06,16.992437181834468,33.38965311201658,70.4938336099793,7.479478079836932,0.9387116898235975,4.5,0.5,24.0,4.2,145.0,0.9809391252762285,0.9809391252762285,13.063650705288461,20.787326491857044,300.0,0.2085215291500752,5.868839704791972,100.14327639674427,12.0,80.0,0.05,-1.0018501156332391,2.329993876563208,1.8745133290043472,1.4294808578147278,0.0,1714.5456354026485,0.9968288577922375,63.029999999999994,0.5969571299999998,14.278914802475029,1478.1266666667775,3168.768173546711,7953.105159786484
1829.0,85.2134875773014,99.99960518046979,1702.1068265563824,19.97461896286023,1.4100033402040482,0.3000027637294551,0.6999980259157635,1.0,3.948195302143631e-06,16.460167210361508,28.829912621894632,76.19350922263173,7.543246660867576,0.9501035999765909,4.5,0.5,24.000000000000004,4.2,145.0,0.9809289352460683,0.9809289352460683,13.064214992065844,20.787752707237157,300.0,0.2085564877459386,5.8689853656080695,100.14342073466217,12.0,80.0,0.05,2.1063510516406776,0.2790238235811301,1.6444498903405649,1.2151779746516709,0.0,1714.5426506169995,0.9968271224517439,63.029999999999994,0.5969571299999998,14.278914802475029,1478.060000000111,3168.8669651330474,7953.073034866813
1830.0,85.2135468008227,99.99960517992102,1702.1068265274248,19.974605080136282,1.410003340208691,0.3000027637332966,0.6999980259130196,1.0,3.9482007898072876e-06,17.01263605656012,33.826082293304424,69.9482971333695,7.473838285891085,0.9374481944419709,4.5,0.5,24.0,4.2,145.0,0.980918745470656,0.980918745470656,13.064779260044766,20.788179178931088,300.0,0.20859140751833338,5.869130864659714,100.1435651325893,12.0,80.0,0.05,0.8555812032345927,-2.539620969654838,1.87936688224514,1.430093388490622,0.0,1714.5396658313505,0.9968253871112502,63.029999999999994,0.5969571299999998,14.278914802475029,1477.9933333334443,3168.96576477028,7953.040901896246
1831.0,85.21360602442631,99.99960517937221,1702.1068264984672,19.974591197412334,1.410003340213334,0.3000027637371381,0.6999980259102757,1.0,3.94820627789727e-06,16.306734480282376,29.149386275638527,75.79416715545187,7.538460571633085,0.9494014275182101,4.5,0.5,24.0,4.2,145.0,0.980908555949985,0.980908555949985,13.065343509225858,20.788605906094777,300.0,0.20862628851037518,5.869276202126554,100.14370959050801,12.0,80.0,0.05,-2.1066858805575484,0.05680178753388576,1.640547680316454,1.2094720738006643,0.0,1714.5366810457015,0.9968236517707567,63.029999999999994,0.5969571299999998,14.278914802475029,1477.9266666667777,3169.064572460142,7953.008760873051
1832.0,85.21366524811226,99.9996051788234,1702.1068264695098,19.974577314688382,1.410003340217977,0.30000276374097967,0.6999980259075317,1.0,3.948211765987253e-06,17.22346719981756,33.519082608363085,70.33204673954617,7.477797863178627,0.9383405095377884,4.5,0.5,24.0,4.2,145.0,0.9808983666840493,0.9808983666840493,13.065907739609745,20.78903288788701,300.0,0.2086611307651318,5.869421378188039,100.14385410840065,12.0,80.0,0.05,-0.6857258479820185,2.8261847411745515,1.896473629542985,1.4462399502498053,0.0,1714.5336962600525,0.9968219164302631,63.029999999999994,0.5969571299999998,14.278914802475029,1477.860000000111,3169.1633882043643,7952.976611795494
1833.0,85.21372447188055,99.99960517827463,1702.1068264405524,19.974563431964434,1.4100033402226197,0.3000027637448212,0.6999980259047878,1.0,3.94821725365091e-06,16.29222523196722,29.169595098646038,75.76890612669247,7.53815958624334,0.949356571989753,4.5,0.5,24.0,4.2,145.0,0.9808881776728424,0.9808881776728424,13.066471951197059,20.789460123469357,300.0,0.20869593432562306,5.869566393023419,100.1439986862496,12.0,80.0,0.05,2.0940872075040184,-0.3779103725629027,1.6377293697906687,1.2080925300909164,0.0,1714.5307114744035,0.9968201810897694,63.029999999999994,0.5969571299999998,14.278914802475029,1477.7933333334445,3169.2622120046817,7952.944454661842
